"","NRO","SEXO","EDAD","P1","P2A","P2B","P2C","P3","P4A","P4B","P4C","P5A","P5B","P5C","P5D","P5E","P5F","P5G","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15.1","P15.2","P16","P17.1","P17.2","P18","P19","P20","P21A","P21B","P21C","P21D","P21E","P21F","P22","P23","P24","P25","P26","P27A","P27B","P27C","P28","P29","P30","P31","P32A","P32B","P32C","P32D","P33.1","P33.2","P33.3","P34","P35A","P35B","P35C","P35D","P35E","P35F","P35G","P35H","P36A","P36B","P36C","P36D","P37.01","P37.02","P37.03","P37.04","P37.05","P37.06","P37.07","P37.08","P37.09","P37.10","P38.1","P38.2","P38.3","P39","P40","P41","P42","P43A","P43B","P43C","P43D","P43E","P43F","P43G","P44","P45A","P45B","P45C","P45D","P45E","P45F","P45G","P46A","P46B","P46C","P46D","P46E","P47","P48","P49","P50","P51","P52","P53","P54","P55","P56A","P56B","P56C","P56D","P56E","P56F","P56G","P56H","P56I","P57","P58","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","BUSTRAB","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO07","estrato","nse1","nsegrup","PESO","UBIGEO07","inseguridad07","inseguridad07100","rank_inseguridad07100","adaptk7.cluster"
"114",31,"Femenino",20,"Poco interesado","Aprueba","Desaprueba","Aprueba","Aprueba","Desaprueba",NA,"Desaprueba","Poca","Ninguna","Ninguna","Ninguna","Poca","Poca","Ninguna","Buena","Igual","Muy satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Permanece igual","Mejorará algo","Permanece igual",NA,"Son rebeldes","Son creativos","Inestabilidad laboral",NA,NA,"Estudiar una carrera universitaria","Regular","Regular","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán mejores que los adultos de hoy","Nada","Sí","No","De acuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","Muy insatisfecho","Ser autosuficiente, no depender de nadie","La falta de trabajo","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Asaltos con armas","Secuestro","Venta de drogas","Robo al paso (de bolso, cartera, celular)","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Mucha frecuencia","Ninguna frecuencia","No","No","No","No","No llevar mucho dinero consigo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","El bajo nivel educativo","La poca dureza de las penas","No",NA,NA,"Ha aumentado mucho","Nada eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Todos","Bueno","Bueno","Bueno","Malo","Malo","Malo","Malo","Bueno","Bueno","Bueno","Bueno","Malo","En la protección de funcionarios","Le inspiran confianza","Sí","Satisfactorio","No",NA,NA,"No",NA,"Se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Fue un buen gesto y allanó el caminó para resolver el proble",4,"Secundaria completa","Independiente / cuenta propia","Empleado poco especializado (vigilante, mensajero)","El entrevistado y otra persona en partes iguales",NA,NA,"Sí",NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 601 y 1000","18 a 29","Vivienda en quinta","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","C","C",0.739960960664607,"150101            ",-0.149390670330433,53.7225094485615,201,2
"115",291,"Masculino",22,"Poco interesado","Aprueba","Desaprueba","Aprueba","Aprueba","Desaprueba",NA,"Desaprueba","Poca","Poca","Poca","Poca","Poca","Poca","Poca","Regular","Peor","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e",NA,NA,"Permanece igual","Permanece igual","Son individualistas","Son rebeldes","Falta de oportunidades de trabajo",NA,NA,"Ingresar a las fuerzas armadas o policiales","Regular","Regular","De acuerdo","De acuerdo",NA,NA,NA,NA,"No","Serán iguales que los adultos de hoy","Poco","Sí","No","De acuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","7",NA,"El SIDA","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","Violaciones, abusos o acosos sexuales","Agresiones físicas","Secuestro","Robo al paso (de bolso, cartera, celular)",NA,NA,"Poca frecuencia","Poca frecuencia","Regular frecuencia","Regular frecuencia",NA,"Poca frecuencia",NA,NA,NA,NA,"No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","No",NA,NA,"Se mantiene igual","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Los profesores","Bueno","Malo","Muy malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo",NA,"Su presencia evitará que se cometan delitos","Sí","Poco satisfactorio","No",NA,NA,"Sí, una parte","Sí","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Todos los peruanos debemos ser pacientes y confiar en el tra","Fue un buen gesto y allanó el caminó para resolver el proble",5,"Superior técnica incompleta","Estudiante",NA,"El entrevistado y otra persona en partes iguales",NA,NA,"No",NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 601 y 1000","18 a 29","Casa independiente","Popular","Tierra afirmada","Plano","150112            ","Lima Norte","D","D/E",1.00820283487116,"150112            ",0.315490062809626,63.6000778590018,300,2
"116",292,"Masculino",29,"Poco interesado","Aprueba",NA,NA,NA,"Desaprueba",NA,"Desaprueba","Poca",NA,"Alguna","Poca","Ninguna",NA,NA,NA,"Igual","Satisfecho",NA,NA,"Algo peor","Permanecerá igual","Permanece igual","Permanece igual","Son trabajadores","Son creativos","Bajo nivel educativo","Programa de empleo juvenil","Programa para incentivar la participación política de los jó","Estudiar una carrera técnica","Mal","Regular","De acuerdo","De acuerdo",NA,NA,"De acuerdo",NA,NA,"Serán peores que los adultos de hoy","Nada",NA,"Sí","De acuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","7","Poder trabajar en lo que me gusta","La falta de trabajo",NA,"De acuerdo","De acuerdo","En desacuerdo","Violencia callejera","Corrupción",NA,"Atraco (con violencia o amenaza)",NA,NA,"Poca frecuencia","Regular frecuencia","Regular frecuencia","Regular frecuencia",NA,"Poca frecuencia",NA,NA,NA,NA,"No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","El desempleo","El bajo nivel educativo","No",NA,NA,"Se mantiene igual","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Los profesores","Bueno","Malo","Muy malo","Muy malo","Malo","Malo","Malo","Malo","Muy malo","Muy malo","Muy malo","Muy malo","En la protección de funcionarios","Pueden ayudarme","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Las disculpas dadas no lo favorecen ni lo perjudican",6,"Superior técnica completa","Asalariado sector público","Empleado poco especializado (vigilante, mensajero)","El entrevistado y otra persona en partes iguales",NA,NA,"No",NA,"Water / inodoro",2,"No","Sí","Sí","Sí","Mejores","Entre 1501 y 2000","18 a 29","Casa independiente","Popular","Tierra afirmada","Plano","150112            ","Lima Norte","C","C",1.00820283487116,"150112            ",0.0931033202345536,58.8749083547228,252.5,2
"117",289,"Femenino",57,"Nada interesado","Aprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Poca","Poca","Alguna","Poca","Alguna","Poca","Poca","Regular","Igual","Satisfecho",NA,NA,"Permanece igual","Permanecerá igual",NA,NA,"Son emprendedores","Son creativos","Falta de oportunidades de trabajo",NA,NA,NA,"Mal","Regular","De acuerdo","De acuerdo",NA,NA,NA,NA,"Sí","Serán peores que los adultos de hoy","Poco","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agresiones físicas","Secuestro",NA,"Robo en vivienda o local",NA,NA,"Poca frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia",NA,"Poca frecuencia",NA,NA,NA,NA,"No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,"El desempleo","El bajo nivel educativo","Las carencias afectivas en el hogar","No",NA,NA,"Ha aumentado algo","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Poco eficaz","Bastante eficaz","Los profesores","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Bueno","Malo","Muy malo","Muy malo","Muy malo","En la protección de funcionarios","Su presencia evitará que se cometan delitos","Sí","Satisfactorio","No",NA,NA,"Sí, una parte",NA,"No se cumplirá","Se cumplirá","No se cumplirá",NA,"Se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá",NA,"Todos los peruanos debemos ser pacientes y confiar en el tra",NA,5,"Secundaria completa","Ama de casa",NA,"Otra persona","Secundaria completa","Asalariado sector público","No","Empleado poco especializado (vigilante, mensajero)","Water / inodoro",1,"No","Sí","Sí","No","Iguales","Entre 601 y 1000","45 o más","Casa independiente","Popular","Tierra afirmada","Plano","150112            ","Lima Norte","D","D/E",1.00820283487116,"150112            ",-0.0449220334329836,55.942210189287,226.5,2
"118",290,"Masculino",54,"Nada interesado","Desaprueba","Desaprueba","Aprueba","Desaprueba",NA,NA,NA,"Poca","Poca","Alguna","Poca","Alguna","Ninguna","Poca","Regular","Igual","Muy satisfecho",NA,NA,"Permanece igual","Permanecerá igual",NA,NA,"Son rebeldes","Son pesimistas con su futuro","Bajo nivel educativo","Programa de empleo juvenil","Programa para incentivar la participación política de los jó","Buscar trabajo","Regular","Mal","De acuerdo","De acuerdo",NA,"En desacuerdo","En desacuerdo",NA,"Sí","Serán peores que los adultos de hoy","Nada","Sí","Sí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrorismo","Corrupción",NA,"Robo en vivienda o local",NA,NA,"Poca frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia",NA,"Poca frecuencia","No",NA,NA,NA,"No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","Sí","Robo en vivienda o local","Nada",NA,"Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La familia","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En la protección de funcionarios","Pueden ayudarme","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá",NA,"Un Presidente no debe pedir disculpas porque le resta autori",4,"Primaria completa","Independiente / cuenta propia","Obrero eventual","El propio entrevistado",NA,NA,"No",NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Mejores","Entre 601 y 1000","45 o más","Vivienda en vecindad (callejón o corralón)","Popular","Tierra afirmada","Plano","150112            ","Lima Norte","D","D/E",1.00820283487116,"150112            ",-0.0449220334329836,55.942210189287,226.5,2
"119",293,"Femenino",44,"Poco interesado",NA,"Desaprueba",NA,"Desaprueba","Desaprueba",NA,"Aprueba","Alguna","Poca","Alguna","Poca","Alguna","Poca","Poca","Regular","Igual","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Permanece igual","Permanecerá igual",NA,NA,"Son emprendedores","Son creativos","Bajo nivel educativo","Programa de empleo juvenil","Programa para incentivar la participación política de los jó","Ingresar a las fuerzas armadas o policiales","Regular","Mal","De acuerdo","De acuerdo",NA,NA,"De acuerdo",NA,"Sí","Serán iguales que los adultos de hoy","Algo","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Asaltos con armas","Venta de drogas","Robo en vivienda o local",NA,NA,"Poca frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia",NA,"Poca frecuencia",NA,NA,NA,NA,"No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,"El desempleo","El bajo nivel educativo","Las carencias afectivas en el hogar","Sí","Robo en vivienda o local","Poco","Ha aumentado algo","Muy eficaz","Muy eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Poco eficaz","Bastante eficaz","Los profesores","Bueno","Malo","Muy malo","Malo","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En la protección de funcionarios","Pueden ayudarme","No",NA,"No",NA,NA,"Sí, una parte","Sí","No se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Fue un buen gesto y allanó el caminó para resolver el proble",5,"Secundaria incompleta","Ama de casa",NA,"Otra persona","Secundaria completa","Independiente / cuenta propia","Sí","Pequeño comerciante con puesto / Microempresario (menos de 5","Water / inodoro",1,"No","Sí","Sí","Sí","Mejores","Entre 601 y 1000","30 a 44","Casa independiente","Medio","No tiene pistas","Plano","150112            ","Lima Norte","C","C",1.00820283487116,"150112            ",-0.0449220334329836,55.942210189287,226.5,2
"120",295,"Femenino",39,"Algo interesado",NA,"Aprueba","Aprueba","Aprueba","Desaprueba",NA,"Desaprueba","Ninguna","Ninguna","Mucha","Poca","Alguna","Ninguna","Poca","Mala","Peor",NA,"La democracia es preferible a cualquier otra forma de gobier",NA,"Permanece igual","Permanecerá igual",NA,NA,"Son emprendedores","Son creativos","Falta de oportunidades de trabajo","Programa de empleo juvenil","Programa para incentivar la participación política de los jó","Estudiar una carrera técnica","Mal","Regular","De acuerdo","De acuerdo",NA,"De acuerdo",NA,NA,"Sí",NA,"Algo","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Agresiones físicas","Venta de drogas","Robo al paso (de bolso, cartera, celular)",NA,NA,"Poca frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia",NA,"Poca frecuencia",NA,NA,NA,NA,"No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El bajo nivel educativo","Las carencias afectivas en el hogar","No",NA,NA,"Ha aumentado mucho","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Los profesores","Malo","Bueno","Malo","Muy malo","Malo","Malo","Malo","Malo","Bueno","Malo","Malo","Malo","En las operaciones especiales","Le inspiran confianza","No",NA,"No",NA,NA,"Sí, una parte","No","No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Un Presidente no debe pedir disculpas porque le resta autori",7,"Superior técnica incompleta","Ama de casa",NA,"Otra persona","Secundaria incompleta","Independiente / cuenta propia","No","Chofer, transportista o taxista sin carro propio","Water / inodoro",1,"No","Sí","Sí","No","Peores","Entre 300 y 600","30 a 44","Casa independiente","Popular","Tierra afirmada","Inclinado","150112            ","Lima Norte","D","D/E",1.00820283487116,"150112            ",-0.0449220334329836,55.942210189287,226.5,2
"121",901,"Masculino",36,"Poco interesado","Desaprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Ninguna","Ninguna","Poca","Ninguna","Poca","Ninguna","Mucha","Regular","Peor","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","Algo peor","Permanecerá igual","Permanece igual","Permanece igual","Son rebeldes","No tienen interés en cambiar su realidad","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa de empleo juvenil","Estudiar una carrera universitaria","Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán peores que los adultos de hoy","Algo","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Violencia callejera","Terrorismo","Atraco (con violencia o amenaza)","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El desempleo","El mal funcionamiento de la justicia","La ineficacia del sistema penitenciario","No",NA,NA,"Ha aumentado mucho","Nada eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","El propio consumidor","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Bueno","Bueno","Malo","Bueno","Malo","En la lucha contra las drogas","Nunca aparecen cuando se les necesita","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Un Presidente no debe pedir disculpas porque le resta autori",7,"Secundaria completa","Asalariado sector público","Pescador / artesado","El propio entrevistado",NA,NA,"Sí",NA,"Letrina / silo",0,"No","Sí","Sí","No","Iguales","Entre 601 y 1000","30 a 44","Casa independiente","Popular","No tiene pistas","Plano","150108            ","Lima Sur","D","D/E",0.974422570166749,"150108            ",1.81095157673622,95.374944735535,457,1
"122",600,"Femenino",63,"Nada interesado",NA,NA,"Aprueba","Aprueba","Desaprueba","Aprueba",NA,"Alguna","Alguna","Mucha","Ninguna","Alguna","Ninguna","Alguna","Regular","Mejor","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Permanece igual","Mejorará algo","Algo mejor","Algo mejor","Son emprendedores","Son trabajadores","Falta de oportunidades de trabajo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera universitaria","Regular","Regular","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Sí","Serán mejores que los adultos de hoy","Nada","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Asaltos con armas","Violencia callejera","Atraco (con violencia o amenaza)","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Sí","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista","Instalar rejas en su domicilio","Tener un arma en casa",NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","La poca dureza de las penas","Sí","Robo en vivienda o local","Poco","Se mantiene igual","Muy eficaz","Muy eficaz","Muy eficaz","Bastante eficaz",NA,"Muy eficaz","Muy eficaz","La familia",NA,"Bueno","Bueno","Bueno","Bueno","Malo","Muy malo","Malo","Bueno","Bueno","Malo","Malo","En la protección de funcionarios","Su presencia evitará que se cometan delitos","No",NA,"No",NA,NA,"Sí, una parte","Sí","Se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Fue un buen gesto y allanó el caminó para resolver el proble",4,"Secundaria completa","Retirado / jubilado",NA,"El entrevistado y otra persona en partes iguales",NA,NA,"Sí",NA,"Water / inodoro",3,"No","Sí","Sí","Sí","Mejores","Entre 601 y 1000","45 o más","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150133            ","Lima Sur","C","C",0.974422570166749,"150133            ",1.44698291775691,87.6415088840621,439,1
"123",562,"Masculino",26,"Algo interesado","Aprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Alguna","Poca","Mucha","Poca","Alguna","Ninguna","Poca","Regular","Mejor","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","Algo mejor","Mejorará algo","Algo mejor","Algo mejor","Son emprendedores","Son creativos","Dificultad de independizarse de su familia","Programa para incentivar las cualidades artísticas y deporti",NA,"Estudiar una carrera universitaria","Mal","Bien","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","No","Serán mejores que los adultos de hoy","Algo","Sí","Sí","En desacuerdo","En desacuerdo","De acuerdo","Es muy difícil confiar en los demás","6","Ser autosuficiente, no depender de nadie","La falta de trabajo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Violencia callejera",NA,"Corrupción","Actos de vandalismo","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Sí","No","No","Sí","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El desempleo","La poca dureza de las penas",NA,"No",NA,NA,"Ha aumentado algo","Poco eficaz","Muy eficaz","Bastante eficaz","Poco eficaz","Poco eficaz","Nada eficaz","Nada eficaz","El propio consumidor","Malo","Muy malo","Malo","Malo","Malo","Malo","Muy malo","Malo","Bueno","Malo","Malo","Muy malo","En la protección de funcionarios","Nunca aparecen cuando se les necesita","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Las disculpas dadas no lo favorecen ni lo perjudican",4,"Superior técnica completa","Asalariado sector público","Empleado no profesional de rango medio (cajero, vendedor)","El entrevistado y otra persona en partes iguales",NA,NA,"No",NA,"Water / inodoro",2,"No","Sí","Sí","Sí","Mejores","Entre 3001 y 5000","18 a 29","Vivienda en quinta","Popular","Asfaltado en regular o mal estado","Inclinado","150108            ","Lima Sur","C","C",0.974422570166749,"150108            ",1.61700038377032,91.2539604911093,446,1
"124",58,"Masculino",41,"Poco interesado","Aprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Alguna","Poca","Alguna","Poca","Alguna","Ninguna","Poca","Regular","Mejor","Insatisfecho","Me da lo mismo un tipo de gobierno u otro","Promover la economía privada de mercado es la única forma en","Permanece igual","Mejorará algo","Permanece igual","Algo mejor","Son emprendedores","Son rebeldes","Falta de oportunidades de trabajo","Programa de control y rehabilitación del uso de drogas","Programa de prevención del pandillaje y la violencia juvenil","Viajar al extranjero","Regular","Bien","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","No","Serán mejores que los adultos de hoy","Nada","Sí","Sí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Violencia callejera","Venta de drogas","Robo en vivienda o local","Mucha frecuencia","Ninguna frecuencia","Mucha frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Sí","Sí","No","No","No llevar mucho dinero consigo","Instalar rejas en su domicilio",NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo",NA,"No",NA,NA,"Ha aumentado mucho","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","El propio consumidor","Malo","Bueno","Malo","Bueno","Malo","Malo","Muy malo","Muy malo","Muy malo","Muy malo","Malo","Malo","En la lucha contra la delincuencia callejera","Le inspiran confianza","Sí","Satisfactorio","No",NA,NA,"No",NA,"No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","Todos los peruanos debemos ser pacientes y confiar en el tra","Fue un buen gesto y allanó el caminó para resolver el proble",5,"Secundaria completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","El entrevistado y otra persona en partes iguales",NA,NA,"Sí",NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 300 y 600","30 a 44","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150115            ","Lima Antigüa","C","C",0.739960960664607,"150115            ",0.719045599798288,72.1746371811162,362,2
"125",572,"Femenino",38,"Nada interesado","Aprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Poca","Poca","Mucha","Alguna","Alguna","Ninguna","Alguna","Regular","Mejor","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","Algo mejor","Mejorará algo","Permanece igual","Permanece igual","Son rebeldes","No tienen interés en cambiar su realidad","Dificultad de independizarse de su familia","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera universitaria","Regular","Muy bien","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán mejores que los adultos de hoy","Nada","Sí","Sí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agresiones físicas","Violencia callejera","Venta de drogas","Agresión sexual","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Sí","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","El bajo nivel educativo","No",NA,NA,"Ha aumentado algo","Nada eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Muy eficaz","Bastante eficaz","La familia","Malo","Bueno","Malo","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Muy malo","Malo","En la resolución de secuestros","Pueden ayudarme","No",NA,"No",NA,NA,"No",NA,"Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Fue un buen gesto y allanó el caminó para resolver el proble",5,"Superior técnica completa","Ama de casa",NA,"Otra persona",NA,"Asalariado sector privado","Sí","Funcionario público de rango medio","Water / inodoro",1,"No","Sí","Sí","Sí","Mejores","Entre 601 y 1000","30 a 44","Casa independiente","Popular","Asfaltado en buen estado","Plano","150108            ","Lima Sur","C","C",0.974422570166749,"150108            ",1.58856483416115,90.6497752312561,442.5,1
