"","NRO","SEXO","EDAD","P1","P2A","P2B","P2C","P2D","P2E","P2F","P2G","P2H","P2I","P2J","P2K","P2L","P3","P4","P5.1","P5.2","P6A_1","P6A_2","P6B_1","P6B_2","P6C_1","P6C_2","P6D_1","P6D_2","P6E_1","P6E_2","P7A","P7B","P7C","P7D","P7E","P7F","P7G","P7H","P7I","P8","P9","P10","P11.1","P11.2","P11.3","P11.4","P11.5","P11.6","P11.7","P11.8","P11.9","P12","P13A","P13B","P13C","P13D","P13E","P13F","P14A","P14B","P14C","P14D","P14E","P14F","P14G","P14H","P14I","P14J","P14K","P14L","P15","P16","P17A","P17B","P17C","P17D","P18A","P18B","P18C","P18D","P18F","P18G","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30A","P30B","P30C","P30D","P30E","P31A","P31B","P31C","P31D","P31E","P31F","P31G","P31H","P32A","P32B","P32C","P32D","P32E","P33A","P33B","P33C","P33D","P33E","P33F","P33G","P34.1","P34.2","P34.3","P35.1","P35.2","P36.1","P36.2","P36.3","P37","P38","P39","P40","P41","P42","P43","P44","P45.01","P45.02","P45.03","P45.04","P45.05","P45.06","P45.07","P45.08","P45.09","P45.10","P45.11","P45.12","P45.13","P46A","P46B","P46C","P47A","P47B","P47C","P47D","P47E","P47F","P47G","P47H","P47I","P47J","P48.1","P48.2","P48.3","P48.4","P48.5","P48.6","P49.1","P49.2","P49.3","P49.4","P49.5","P49.6","P49.7","P49.8","P50","P51","P52","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO10","estrato","nse1","nsegrup","PESO","UBIGEO10","inseguridad10","inseguridad10100","rank_inseguridad10100","adaptk.cluster"
"1",1,"Femenino",62,"Alex Kouri","No lo conoce","Podría votar por él/ella","No lo conoce","No lo conoce","De ninguna manera votaría por él/ella","No lo conoce","No lo conoce","No lo conoce","Definitivamente votaría por él/ella","No lo conoce","No lo conoce","No lo conoce","Tiene un candidato preferido pero podría cambiar","Que el candidato por el cual se inclina tenga pocas probabil","Combatir la corrupción","Mejorar la seguridad ciudadana en Lima","Tener objetivos y metas claras","Preocuparse por la gente","Tener objetivos y metas claras","Honestidad y confiabilidad","Firmeza y autoridad","Capacidad para convocar a buenos técnicos","No precisa",NA,"No precisa",NA,"Alex Kouri","Ninguno","Ninguno","Alex Kouri","Ninguno","Alex Kouri","Alex Kouri","Alex Kouri","Alex Kouri","Es preferible un alcalde que haga buenas obras aunque robe","Mercedes Araoz","Luis Castañeda","Ollanta Humala",NA,NA,NA,NA,NA,NA,NA,NA,"Mercedes Araoz","Luis Castañeda","No precisa","No precisa","Luis Castañeda","Luis Castañeda","No precisa","Luis Castañeda","Ninguno","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Jaime Bayly","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Podría votar por ella","Por el Partido Aprista","Aprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Aprueba","Regular","Igual","Satisfecho","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Permanece igual","Permanecerá igual","Permanece igual","Permanecerá igual","Confianza","","","","","","","","","","","","","","","No","No","No","No","No","Sí","No","Sí","No","No","No","No","Atraco (con violencia o amenaza) y Asaltos con armas",NA,NA,"Robo en vivienda o local","Fraude o estafa","El desempleo","El bajo nivel educativo","Las carencias afectivas en el hogar","Pandillaje","No",NA,NA,NA,"No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Verificar que las puertas del auto estén bien cerradas o la ","Llevar ocultos los objetos de valor o dinero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Segura","Segura","Segura","Alguna","Alguna","Alguna","Alguna","Alguna","Alguna","Alguna","Ninguna","Ninguna","Ninguna","Contratar vigilantes en su cuadra o calle",NA,NA,NA,NA,NA,"Poner rejas en la vivienda",NA,NA,NA,NA,NA,NA,NA,"Buena","Buena","Buena",5,"Secundaria completa","Ama de casa, no trabaja fuera del hogar",NA,"Usted y otra persona casi en partes iguales",NA,NA,NA,"Water / inodoro conectado a la red pública de desagüe",2,"No","Sí","Sí","Sí","Iguales","Entre 1,001 y 1,500","45 o más","Casa independiente","Medio","Concreto, asfalto en buen estado","Plano","150101            ","Lima Antigüa","C","C",0.887096774193548,"150101            ",-0.0410403123787912,51.3929877707546,243,3
"2",2,"Femenino",41,"Lourdes Flores","No lo conoce","De ninguna manera votaría por él/ella","No lo conoce","No lo conoce","Definitivamente votaría por él/ella","No lo conoce","Podría votar por él/ella","No lo conoce","De ninguna manera votaría por él/ella","No lo conoce","No lo conoce","Podría votar por él/ella","Está muy seguro, de ninguna manera cambiará su voto",NA,"Mejorar la seguridad ciudadana en Lima","Prevenir y controlar la contaminación ambiental","Ninguna",NA,"Ser un buen líder","Capacidad para convocar a buenos técnicos","Ser un buen líder","Capacidad para convocar a buenos técnicos","No precisa",NA,"Experiencia política","Capacidad para convocar a buenos técnicos","Lourdes Flores","Lourdes Flores","Lourdes Flores","Alex Kouri","Alex Kouri","Lourdes Flores","Lourdes Flores","Lourdes Flores","Ambos","Ninguna de las anteriores","Yehude Simon","Alejandro Toledo","Ollanta Humala",NA,NA,NA,NA,NA,NA,NA,NA,"No precisa","Alejandro Toledo","Keiko Fujimori","Alejandro Toledo","Luis Castañeda","Luis Castañeda","Alejandro Toledo","Jaime Bayly","Ninguno","Alejandro Toledo","Luis Castañeda","Luis Castañeda","Ninguno","Luis Castañeda","Alejandro Toledo","Alejandro Toledo","Alejandro Toledo","Luis Castañeda","Ollanta Humala","Podría votar por ella","De manera independiente","Aprueba","No precisa","No precisa","Aprueba","Desaprueba","Aprueba","Aprueba","Aprueba","Aprueba","Aprueba","Regular","Peor","Satisfecho","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Algo peor","Permanecerá igual","Algo mejor","Permanecerá igual","Tranquilidad","","","","","","","","","","","","No precisa","","","No","No","No","No","No","No","No","Sí","No","No","No","No","Robo al paso (de bolso, cartera, celular)","Robo en cajeros","Actos de vandalismo y violencia callejera","Robo al paso (de bolso, cartera, celular)","Actos de vandalismo y violencia callejera","El bajo nivel educativo","Las carencias afectivas en el hogar","El mal funcionamiento de la justicia","Robos en la calle","Sí","Robo al paso (de bolso, cartera, celular)","No","Algo","Sí","Robo al paso (de bolso, cartera, celular)","No","Llevar ocultos los objetos de valor o dinero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insegura","Insegura","Insegura","Mucha","Mucha","Mucha","Mucha","Poca","Poca","Poca",NA,NA,NA,"Contratar vigilantes en su cuadra o calle",NA,NA,NA,NA,NA,"Otro",NA,NA,NA,NA,NA,NA,NA,"Mala","Mala","Mala",4,"Superior universitaria incompleta","Actualmente no trabaja",NA,"Otra persona","Superior universitaria completa","Asalariado en sector público","Funcionario profesional del sector público / Ejecutivo profe","Water / inodoro conectado a la red pública de desagüe",3,"No","Sí","Sí","Sí","Peores","Entre 1,001 y 1,500","30 a 44","Casa independiente","Medio","Concreto, asfalto en buen estado","Plano","150101            ","Lima Antigüa","B","A/B",0.887096774193548,"150101            ",-0.29939039795768,45.6783894593011,189,3
"3",3,"Femenino",64,"Lourdes Flores","No lo conoce","No lo conoce","No lo conoce","No lo conoce","Definitivamente votaría por él/ella","No lo conoce","No lo conoce","No lo conoce","No lo conoce","No lo conoce","No lo conoce","No lo conoce","Está muy seguro, de ninguna manera cambiará su voto",NA,"Combatir la corrupción","Mejorar la seguridad ciudadana en Lima","No precisa",NA,"Tener objetivos y metas claras","Ser un buen líder","No precisa",NA,"No precisa",NA,"No precisa",NA,"Lourdes Flores","Lourdes Flores","Lourdes Flores","Lourdes Flores","Lourdes Flores","Lourdes Flores","Alex Kouri","Lourdes Flores","Lourdes Flores","Es preferible un alcalde que no robe aunque haga pocas obras","Luis Castañeda","Alejandro Toledo","Ollanta Humala",NA,NA,NA,NA,NA,NA,NA,NA,"Luis Castañeda","Luis Castañeda","Keiko Fujimori","Alejandro Toledo","Luis Castañeda","Luis Castañeda","Alejandro Toledo","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","De ninguna manera votaría por ella","De manera independiente","Aprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Aprueba","Buena","Mejor","Satisfecho","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Permanece igual","Permanecerá igual","Permanece igual","Permanecerá igual","Confianza","","","","","","","Nada Seguro","Nada Seguro","Nada Seguro","No precisa","","No precisa","","","Sí","No","No","No","No","Sí","Sí","Sí","Sí","No","Sí","No","Robo al paso (de bolso, cartera, celular)","Robo en vivienda o local","Violaciones, abusos o acosos sexuales","Violaciones, abusos o acosos sexuales","Robo en vivienda o local","El desempleo","La poca eficacia de la Policía","Las carencias afectivas en el hogar","Robos en la calle","No",NA,NA,NA,"Sí","Robo al paso (de bolso, cartera, celular)","Sí","No llevar mucho dinero consigo ni objetos de valor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insegura","Insegura","Insegura","Mucha","Mucha","Mucha","Poca","Mucha","Mucha","Mucha","Ninguna","Ninguna","Ninguna","Contratar vigilantes en su cuadra o calle",NA,NA,NA,NA,NA,"Poner alarmas","Comprar un arma de fuego",NA,NA,NA,NA,NA,NA,"Buena","Buena","Buena",5,"Secundaria incompleta","Ama de casa, no trabaja fuera del hogar",NA,"Usted y otra persona casi en partes iguales",NA,NA,NA,"Water / inodoro conectado a la red pública de desagüe",2,"No","Sí","Sí","Sí","Iguales","Entre 1,001 y 1,500","45 o más","Departamento en edificio","Medio","Concreto, asfalto en buen estado","Plano","150101            ","Lima Antigüa","C","C",0.887096774193548,"150101            ",-0.850859239756209,33.4801240509516,107,3
"4",4,"Masculino",49,"Gonzales Alegría","Podría votar por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","Está muy seguro, de ninguna manera cambiará su voto",NA,"Combatir la corrupción","Mejorar la seguridad ciudadana en Lima","Firmeza y autoridad","Experiencia en gestión y administración","Ninguna",NA,"Ninguna",NA,"Ninguna",NA,"Ninguna",NA,"Ninguno","Ambos","Ambos","Ninguno","Ambos","Ambos","Ambos","Ninguno","Ninguno","Ninguna de las anteriores","Ollanta Humala","Blanco/Viciado","Blanco/Viciado",NA,NA,NA,NA,NA,NA,NA,NA,"Alejandro Toledo","Alejandro Toledo","Ollanta Humala","Alejandro Toledo","Ollanta Humala","No precisa","Ollanta Humala","Ollanta Humala","Ollanta Humala","Ollanta Humala","Alejandro Toledo","Ollanta Humala","Ollanta Humala","Ollanta Humala","Ollanta Humala","Ollanta Humala","Ollanta Humala","Ollanta Humala","Ollanta Humala","De ninguna manera votaría por ella","De manera independiente","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Mala","Igual","Muy insatisfecho","La democracia puede funcionar sin congreso o parlamento","La democracia puede funcionar sin partidos políticos","Algo mejor","Permanecerá igual","Mucho mejor","Empeorará algo","Garantía","Muy seguro","","","","","","","","","","","","","","No","Sí","Sí","No","No","No","No","No","Sí","No","No","No","Amenazas o intimidaciones","Actos de vandalismo y violencia callejera",NA,"Robo en vivienda o local","Secuestros","El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","Consumo y comercialización de drogas","No",NA,NA,NA,"No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Instalar una alarma o instalar rejas en su domicilio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Muy insegura","Insegura","Insegura","Poca","Poca","Poca","Ninguna","Ninguna","Ninguna","Ninguna","Ninguna","Ninguna","Ninguna","Contratar vigilantes en su cuadra o calle","Enrejar o poner trancas en las calles de acceso",NA,NA,NA,NA,"Poner rejas en la vivienda","Poner cerraduras especiales/ puertas blindadas",NA,NA,NA,NA,NA,NA,"Mala","Mala","Mala",9,"Superior universitaria incompleta","Asalariado en sector privado","Obrero especializado, mecánico, electricista","Usted y otra persona casi en partes iguales",NA,NA,NA,"Water / inodoro conectado a la red pública de desagüe",2,"No","Sí","Sí","Sí","Iguales","Entre 601 y 1,000","45 o más","Casa independiente","Medio","Concreto, asfalto en buen estado","Plano","150101            ","Lima Antigüa","B","A/B",0.887096774193548,"150101            ",1.68446847113382,89.5605368875452,477,4
"5",5,"Femenino",28,"Blanco/Viciado","No lo conoce","De ninguna manera votaría por él/ella","No lo conoce","No lo conoce","De ninguna manera votaría por él/ella","No lo conoce","No lo conoce","No lo conoce","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","No precisa","Que el candidato por el cual se inclina tenga pocas probabil","Combatir la corrupción","Gestionar el monto de los arbitrios e impuestos municipales","No precisa",NA,"Ser un buen líder","Experiencia política","Ninguna",NA,"Ninguna",NA,"Ninguna",NA,"Lourdes Flores","Ninguno","Alex Kouri","Ninguno","Ninguno","Ninguno","Lourdes Flores","Ninguno","Ninguno","Es preferible un alcalde que haga buenas obras aunque robe","Jaime Bayly","Blanco/Viciado","Keiko Fujimori","Alejandro Toledo",NA,NA,NA,NA,NA,NA,NA,"Luis Castañeda","Luis Castañeda","No precisa","No precisa","Luis Castañeda","Luis Castañeda","No precisa","Ninguno","Alejandro Toledo","Luis Castañeda","Luis Castañeda","Luis Castañeda","Alejandro Toledo","Ninguno","Ninguno","Keiko Fujimori","Keiko Fujimori","Ninguno","Ninguno","Podría votar por ella","De manera independiente","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Regular","Igual","Satisfecho","La democracia puede funcionar sin congreso o parlamento","La democracia puede funcionar sin partidos políticos","Permanece igual","Empeorará algo","Algo mejor","Mejorará algo","Garantía","","Muy seguro","Nada Seguro","Nada Seguro","","","Nada Seguro","Nada Seguro","Nada Seguro","","Nada Seguro","","Nada Seguro","","Sí","Sí","No","No","No","No","No","Sí","Sí","Sí","No","No","Robo en vivienda o local","Violaciones, abusos o acosos sexuales","Abusos o coacciones por parte de agentes de la autoridad","Robo en vivienda o local","Violaciones, abusos o acosos sexuales","El consumo de drogas","La poca eficacia de la Policía","El mal funcionamiento de la justicia","Robos en viviendas","Sí","Robo en vivienda o local","Sí","Mucho","Sí","Robo al paso (de bolso, cartera, celular)","Sí","No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Evitar los estacionamientos oscuros y mal vigilados","Cambiar de rutas con frecuencia","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,NA,NA,NA,"Segura","Insegura","Segura","Ninguna","Alguna","Poca","Alguna","Ninguna","Ninguna","Alguna","Alguna","Poca","Ninguna","No han tomado ninguna medida",NA,NA,NA,NA,NA,"Cercos altos/ eléctricos",NA,NA,NA,NA,NA,NA,NA,"Muy mala","Muy mala","Muy mala",11,"Superior técnica completa","Independiente / trabaja por cuenta propia","Empleado no profesional de rango intermedio","Usted y otra persona casi en partes iguales",NA,NA,NA,"Water / inodoro conectado a la red pública de desagüe",3,"No","Sí","No","No","Iguales","Entre 301 y 600","18 a 29","Casa independiente","Medio","Concreto, asfalto en regular o mal estado (baches, huecos, a","Plano","150101            ","Lima Antigüa","C","C",0.887096774193548,"150101            ",0.684797268649031,67.4482184304886,371,2
"6",6,"Masculino",42,"Blanco/Viciado","No lo conoce","De ninguna manera votaría por él/ella","No lo conoce","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","No lo conoce","No lo conoce","De ninguna manera votaría por él/ella","De ninguna manera votaría por él/ella","No lo conoce","De ninguna manera votaría por él/ella","Tiene un candidato preferido pero podría cambiar","Que el candidato por el cual se inclina esté involucrado en ","Mejorar la seguridad ciudadana en Lima","Mejorar el sistema de transporte","Ninguna",NA,"Experiencia política","Experiencia en gestión y administración","Ser un buen líder","Experiencia en gestión y administración","Ninguna",NA,"Experiencia política","Experiencia en gestión y administración","Ninguno","Ninguno","Lourdes Flores","Lourdes Flores","Alex Kouri","Ninguno","Lourdes Flores","Ninguno","Ninguno","Es preferible un alcalde que no robe aunque haga pocas obras","Blanco/Viciado","Blanco/Viciado","Ollanta Humala",NA,NA,NA,NA,NA,NA,NA,NA,"Keiko Fujimori","No precisa","No precisa","No precisa","No precisa","No precisa","No precisa","Ollanta Humala","Ollanta Humala","Luis Castañeda","Alejandro Toledo","Luis Castañeda","Jaime Bayly","Luis Castañeda","Alejandro Toledo","Alejandro Toledo","Luis Castañeda","Luis Castañeda","Ollanta Humala","De ninguna manera votaría por ella","De manera independiente","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Mala","Peor","Insatisfecho","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Permanece igual","Permanecerá igual","Permanece igual","Permanecerá igual","Garantía","","Nada Seguro","","","","","Nada Seguro","Nada Seguro","Nada Seguro","","","","Nada Seguro","","No","No","No","No","No","Sí","No","Sí","No","No","No","No","Atraco (con violencia o amenaza) y Asaltos con armas","Robo en vivienda o local","Secuestros","Atraco (con violencia o amenaza) y Asaltos con armas","Robo en cajeros","El desempleo","El bajo nivel educativo","Las carencias afectivas en el hogar","Consumo y comercialización de drogas","No",NA,NA,NA,"No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Muy insegura","Insegura","Segura","Mucha","Alguna","Alguna","Mucha","Alguna","Poca",NA,"Ninguna","Ninguna","Ninguna","Contratar vigilantes en su cuadra o calle","Enrejar o poner trancas en las calles de acceso",NA,NA,NA,NA,"Cercos altos/ eléctricos",NA,NA,NA,NA,NA,NA,NA,"Mala","Mala","Muy mala",5,"Secundaria completa","Independiente / trabaja por cuenta propia","Pequeño comerciante (con puesto)/ Microempresario (menos de ","Usted mismo",NA,NA,NA,"Water / inodoro conectado a la red pública de desagüe",1,"No","Sí","Sí","No","Iguales","Entre 601 y 1,000","30 a 44","Casa independiente","Medio","Concreto, asfalto en buen estado","Plano","150101            ","Lima Antigüa","C","C",0.887096774193548,"150101            ",-0.201663344616729,47.8400719404744,209,3
"7",7,"Masculino",21,"Lourdes Flores","De ninguna manera votaría por él/ella","No lo conoce","No lo conoce","No lo conoce","Podría votar por él/ella","No lo conoce","No lo conoce","No lo conoce","Podría votar por él/ella","No lo conoce","No lo conoce","No lo conoce","Tiene un candidato preferido pero podría cambiar","Que el candidato por el cual se inclina esté involucrado en ","Combatir la corrupción","Prevenir y controlar la contaminación ambiental","No precisa",NA,"Experiencia política","Preocuparse por la gente","Ser un buen líder","Capacidad para tomar decisiones difíciles","No precisa",NA,"No precisa",NA,"Lourdes Flores","Lourdes Flores","Lourdes Flores","Alex Kouri","Ambos","Lourdes Flores","Alex Kouri","Lourdes Flores","Lourdes Flores","Es preferible un alcalde que haga buenas obras aunque robe","Luis Castañeda","Alejandro Toledo","Keiko Fujimori",NA,NA,NA,NA,NA,NA,NA,NA,"Luis Castañeda","Luis Castañeda","Keiko Fujimori","Alejandro Toledo","Luis Castañeda","Luis Castañeda","Alejandro Toledo","Jaime Bayly","Luis Castañeda","Luis Castañeda","Luis Castañeda","Luis Castañeda","Jaime Bayly","Luis Castañeda","Alejandro Toledo","Alejandro Toledo","Alejandro Toledo","Luis Castañeda","Keiko Fujimori","No la conoce","No precisa","No precisa","Aprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Aprueba","Aprueba","Regular","Mejor","Insatisfecho","La democracia puede funcionar sin congreso o parlamento","Sin partidos políticos no puede haber democracia","Algo mejor","Mejorará algo","Permanece igual","Mejorará algo","Tranquilidad","","","","","","","","","","","","","","","Sí","Sí","No","No","No","Sí","No","Sí","No","No","No","Sí","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Robo en cajeros","Robo al paso (de bolso, cartera, celular)","Atraco (con violencia o amenaza) y Asaltos con armas","El consumo de drogas","El bajo nivel educativo","La poca dureza de las penas","Violaciones","No",NA,NA,NA,"Sí","Robo de vehículo","Sí","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insegura","Insegura","Insegura","Alguna","Alguna","Poca","Alguna","Poca","Ninguna","Poca","Alguna","Ninguna","Ninguna","Organizar rondas vecinales",NA,NA,NA,NA,NA,"Poner alarmas",NA,NA,NA,NA,NA,NA,NA,"Buena","Buena","Buena",10,"Superior universitaria incompleta","Estudiante",NA,"Otra persona","Post grado","Asalariado en sector privado","Profesional independiente (abogado, médico, consultor, profe","Water / inodoro conectado a la red pública de desagüe",3,"No","Sí","Sí","Sí","Iguales","Entre 601 y 1,000","18 a 29","Casa independiente","Medio","Concreto, asfalto en buen estado","Plano","150101            ","Lima Antigüa","B","A/B",0.887096774193548,"150101            ",0.48732317682404,63.0801722222967,345,2
"8",8,"Masculino",29,"Fernado Andrade","No lo conoce","Definitivamente votaría por él/ella","No lo conoce","No lo conoce","Podría votar por él/ella","No lo conoce","No lo conoce","No lo conoce","Podría votar por él/ella","Podría votar por él/ella","No lo conoce","No lo conoce","Tiene un candidato preferido pero podría cambiar","Que el candidato por el cual se inclina esté involucrado en ","Mejorar la seguridad ciudadana en Lima","Realizar el mantenimiento de calles y pistas","Honestidad y confiabilidad","Preocuparse por la gente","Tener objetivos y metas claras","Ser un buen líder","Firmeza y autoridad","Experiencia en gestión y administración","Experiencia política","Capacidad para tomar decisiones difíciles","No precisa",NA,"Lourdes Flores","Ninguno","Lourdes Flores","Ambos","Ninguno","Alex Kouri","Alex Kouri","Ambos","Lourdes Flores","Es preferible un alcalde que no robe aunque haga pocas obras","Luis Castañeda","Ollanta Humala","Jaime Bayly",NA,NA,NA,NA,NA,NA,NA,NA,"Luis Castañeda","Luis Castañeda","Ollanta Humala","Alejandro Toledo","Luis Castañeda","Luis Castañeda","Ollanta Humala","Ollanta Humala","Alejandro Toledo","Luis Castañeda","Alejandro Toledo","Luis Castañeda","Ollanta Humala","Luis Castañeda","Alejandro Toledo","Luis Castañeda","Alejandro Toledo","Alejandro Toledo","Ollanta Humala","No la conoce","De manera independiente","Desaprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Regular","Peor","Muy insatisfecho","La democracia puede funcionar sin congreso o parlamento","Sin partidos políticos no puede haber democracia","Algo peor","Permanecerá igual","Algo mejor","Mejorará algo","Tranquilidad","","","","","","Muy seguro","","","","","","","","","No","Sí","Sí","No","No","No","No","Sí","No","No","No","No","Robo de objetos en su vehículo","Robo en cajeros","Fraude o estafa","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","El consumo de drogas","El desempleo","El bajo nivel educativo","Pandillaje","Sí","Atraco (con violencia o amenaza) y asaltos con armas","No","Poco","No",NA,NA,"Buscar paraderos iluminados y concurridos","Instalar una alarma o instalar rejas en su domicilio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insegura","Insegura","Insegura","Ninguna","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Ninguna","Ninguna","Ninguna","No han tomado ninguna medida",NA,NA,NA,NA,NA,"No ha tomado ninguna medida",NA,NA,NA,NA,NA,NA,NA,"Mala","Mala","Mala",5,"Secundaria completa","Independiente / trabaja por cuenta propia","Empleado poco especializado / mensajero, vigilante","Otra persona","Secundaria completa","Independiente / trabaja por cuenta propia","Obrero especializado, mecánico, electricista","Water / inodoro conectado a la red pública de desagüe",2,"No","Sí","Sí","Sí","Peores","Entre 601 y 1,000","18 a 29","Casa independiente","Medio","Concreto, asfalto en buen estado","Plano","150101            ","Lima Antigüa","C","C",0.887096774193548,"150101            ",-0.64461103188083,38.0422501204049,133,3
"9",9,"Femenino",35,"Lourdes Flores","No lo conoce","No lo conoce","No lo conoce","No lo conoce","Definitivamente votaría por él/ella","No lo conoce","No lo conoce","No lo conoce","De ninguna manera votaría por él/ella","No lo conoce","No lo conoce","No lo conoce","Está muy seguro, de ninguna manera cambiará su voto",NA,"Combatir la corrupción","Mejorar la seguridad ciudadana en Lima","No precisa",NA,"Honestidad y confiabilidad","Firmeza y autoridad","Experiencia política","Capacidad para tomar decisiones difíciles","No precisa",NA,"No precisa",NA,"Ambos","Ninguno","Alex Kouri","Alex Kouri","Alex Kouri","No precisa","No precisa","Lourdes Flores","Lourdes Flores","Es preferible un alcalde que haga buenas obras aunque robe","Alejandro Toledo","Jaime Bayly","Luis Castañeda",NA,NA,NA,NA,NA,NA,NA,NA,"Alejandro Toledo","Alejandro Toledo","Ollanta Humala","Alejandro Toledo","Ollanta Humala","Keiko Fujimori","Alejandro Toledo","Ollanta Humala","Alejandro Toledo","Alejandro Toledo","Alejandro Toledo","Alejandro Toledo","Alejandro Toledo","Alejandro Toledo","Alejandro Toledo","Alejandro Toledo","Alejandro Toledo","Alejandro Toledo","Alejandro Toledo","No la conoce","De manera independiente","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Mala","Igual","Insatisfecho","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Permanece igual","No precisa","Permanece igual","No precisa","Confianza","","","","","","","","","","No aplica","","","","","Sí","Sí","No","No","No","Sí","No","Sí","No","No","No","No","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Robo en vivienda o local","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","El consumo de drogas","El desempleo","La lejanía o la ausencia las comisarías","Pandillaje","No",NA,NA,NA,"No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Llevar ocultos los objetos de valor o dinero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insegura","Insegura","Insegura","Mucha","Mucha","Poca","Mucha","Poca","Mucha","Poca","Poca","Poca","Ninguna","No han tomado ninguna medida",NA,NA,NA,NA,NA,"No ha tomado ninguna medida",NA,NA,NA,NA,NA,NA,NA,"Mala","Muy mala","Muy mala",4,"Secundaria completa","Independiente / trabaja por cuenta propia","Pequeño comerciante (con puesto)/ Microempresario (menos de ","Usted y otra persona casi en partes iguales",NA,NA,NA,"Water / inodoro conectado a la red pública de desagüe",1,"No","Sí","No","Sí","Mejores","Entre 301 y 600","30 a 44","Casa independiente","Popular","Concreto, asfalto en regular o mal estado (baches, huecos, a","Plano","150101            ","Lima Antigüa","D","D/E",0.887096774193548,"150101            ",-0.461635149770082,42.0896018547921,154,3
